timestamp,pm25,pm10
1618440344,1.2,1.7
1618440644,1.2,2.1
1618440944,1.0,1.1
1618441244,0.8,1.2
1618441544,0.9,4.4
1618441844,1.4,1.8
1618442143,1.3,5.7
1618442444,1.5,3.6
1618442744,1.6,3.0
1618443043,1.0,1.0
1618443344,1.1,3.0
1618443644,1.1,3.0
1618443944,1.4,2.5
1618444244,0.7,2.1
1618444544,0.9,1.4
1618444844,1.2,9.4
1618445144,0.9,0.9
1618445443,0.9,3.9
1618445744,0.7,1.1
1618446044,0.7,1.4
1618446343,0.7,0.7
1618446644,0.3,0.4
1618446944,0.5,2.3
1618447244,0.8,1.4
1618447544,0.8,2.8
1618447844,0.8,2.3
1618448144,0.9,1.2
1618448444,0.4,0.6
1618448744,0.6,2.4
1618449044,0.7,0.7
1618449344,1.2,2.1
1618449643,1.2,1.6
1618449944,1.0,2.4
1618450244,1.1,4.8
1618450544,0.9,1.0
1618450844,1.0,1.5
1618451144,0.7,2.8
1618451444,1.4,1.9
1618451744,0.7,0.7
1618452043,1.3,3.4
1618452344,1.1,5.2
1618452644,1.3,2.9
1618452943,1.1,2.3
1618453244,1.2,3.6
1618453544,1.3,4.9
1618453844,1.0,2.8
1618454144,1.7,3.5
1618454444,0.9,1.2
1618454744,1.8,3.5
1618455044,1.2,1.6
1618455343,1.0,1.8
1618455644,1.1,4.0
1618455944,1.0,2.0
1618456243,1.8,4.7
1618456544,1.2,3.3
1618456844,1.8,3.1
1618457144,1.0,1.8
1618457444,1.3,3.5
1618457744,0.9,1.6
1618458044,0.8,1.0
1618458344,1.0,1.7
1618458643,0.8,2.6
1618458944,1.3,7.9
1618459244,1.3,4.9
1618459543,1.1,3.4
1618459844,0.9,1.7
1618460144,1.1,3.0
1618460444,1.0,2.7
1618460744,1.1,1.5
1618461044,1.2,2.1
1618461344,1.5,2.6
1618461644,1.0,1.6
1618461943,1.1,1.5
1618462244,1.1,1.6
1618462544,1.0,1.2
1618462843,1.3,2.4
1618463144,2.2,6.2
1618463444,3.3,10.4
1618463743,4.8,20.3
1618464044,5.1,18.9
1618464344,6.6,26.4
1618464644,3.9,15.4
1618464944,5.3,18.4
1618465244,4.5,12.4
1618465544,3.8,12.6
1618465844,4.4,15.6
1618466143,3.7,13.4
1618466444,3.1,10.9
1618466744,3.8,14.9
1618467043,2.4,9.5
1618467344,3.6,7.7
1618467644,2.7,11.4
1618467944,2.7,8.5
1618468244,3.2,10.1
1618468543,2.2,4.9
1618468844,3.8,12.9
1618469144,2.4,5.4
1618469443,2.3,4.8
1618469744,2.3,4.8
1618470044,2.8,6.5
1618470343,2.3,6.4
1618470644,2.6,5.6
1618470944,2.2,8.3
1618471244,2.1,4.3
1618471544,1.9,2.8
1618471843,1.8,5.7
1618472144,2.1,10.3
1618472444,2.3,3.4
1618472743,1.7,5.0
1618473044,1.6,3.4
1618473344,1.5,6.1
1618473643,1.6,3.9
1618473944,1.1,2.9
1618474244,1.7,6.0
1618474544,1.9,3.7
1618474844,1.4,2.9
1618475143,0.9,6.7
1618475444,0.8,1.3
1618475744,0.9,2.6
1618476043,1.2,5.1
1618476344,0.8,3.4
1618476644,1.0,2.7
1618476943,1.0,7.7
1618477244,1.1,2.5
1618477544,0.8,2.0
1618477844,1.5,7.4
1618478144,1.0,2.3
1618478443,1.0,3.7
1618478744,0.6,1.2
1618479044,0.9,2.3
1618479343,0.7,0.7
1618479644,1.0,3.9
1618479944,0.7,5.8
1618480244,1.2,2.1
1618480544,1.2,3.3
1618480844,1.0,3.6
1618481144,0.6,2.1
1618481444,0.7,3.0
1618481744,0.7,6.1
1618482044,1.3,3.4
1618482344,0.5,1.7
1618482643,0.7,6.4
1618482944,0.6,1.3
1618483244,0.4,0.4
1618483544,1.1,3.5
1618483844,0.9,5.9
1618484144,0.8,6.3
1618484444,1.2,5.9
1618484744,1.2,4.0
1618485044,1.3,3.6
1618485344,1.0,2.0
1618485644,1.0,4.9
1618485943,0.9,4.4
1618486244,1.7,3.5
1618486544,1.1,2.5
1618486844,1.2,9.7
1618487144,1.4,3.6
1618487444,0.8,1.7
1618487744,1.2,4.1
1618488044,0.7,1.7
1618488343,2.6,12.4
1618488644,2.1,8.1
1618488944,3.2,4.5
1618489243,3.9,23.3
1618489544,3.4,7.8
1618489844,3.3,14.0
1618490144,4.7,13.1
1618490444,4.1,7.0
1618490744,2.9,9.9
1618491044,3.5,20.0
1618491344,2.8,11.2
1618491643,2.1,6.4
1618491944,2.8,8.8
1618492244,3.0,8.4
1618492543,2.4,5.4
1618492811,None,None
1618493144,1.9,9.3
1618493443,1.6,7.7
1618493744,2.0,6.2
1618494044,1.8,5.6
1618494344,1.7,4.0
1618494644,2.5,10.3
1618494944,1.9,5.8
1618495244,1.5,5.0
1618495544,1.6,6.4
1618495844,1.7,3.4
1618496144,2.3,3.8
1618496411,None,None
1618496743,1.4,9.3
1618497044,2.1,5.5
1618497344,1.5,3.2
1618497643,1.5,4.0
1618497944,1.3,4.2
1618498244,0.8,1.3
1618498543,0.9,6.4
1618498844,1.3,2.5
1618499144,1.1,2.5
1618499444,1.0,3.2
1618499744,2.2,13.7
1618500043,1.6,7.3
1618500344,0.9,2.4
1618500644,1.3,5.3
1618500943,0.7,1.5
1618501244,0.7,1.1
1618501544,1.2,8.9
1618501843,1.1,5.8
1618502144,1.0,4.5
1618502444,1.4,5.9
1618502744,1.2,8.5
1618503044,1.4,3.5
1618503344,1.0,7.9
1618503644,0.9,1.5
1618503944,0.8,3.8
1618504243,1.0,9.2
1618504544,0.8,2.6
1618504844,0.9,20.4
1618505143,0.8,1.6
1618505444,0.8,3.9
1618505744,2.4,4.5
1618506044,2.4,7.0
1618506344,2.6,4.7
1618506644,2.3,6.8
1618506944,3.2,10.7
1618507244,2.5,5.1
1618507543,1.9,5.6
1618507844,1.7,4.0
1618508144,1.7,10.3
1618508443,1.6,2.0
1618508744,2.1,8.5
1618509044,1.8,3.0
1618509344,2.0,3.6
1618509644,1.8,2.2
1618509944,2.3,7.4
1618510244,1.6,4.1
1618510544,1.7,2.8
1618510843,1.4,4.3
1618511144,1.3,5.3
1618511444,1.2,2.0
1618511743,0.9,1.4
1618512044,1.5,2.8
1618512344,1.2,1.8
1618512644,0.9,1.6
1618512944,1.6,2.1
1618513244,1.1,2.6
1618513544,1.3,2.4
1618513844,1.1,1.9
1618514143,0.7,2.9
1618514444,1.2,1.8
1618514744,1.0,1.3
1618515043,1.1,4.9
1618515344,0.8,0.9
1618515644,1.0,3.7
1618515943,0.9,1.4
1618516244,0.8,1.0
1618516544,0.8,1.0
1618516844,0.9,1.4
1618517144,1.1,3.0
1618517444,1.0,3.2
1618517744,0.7,0.9
1618518043,None,None
1618518344,0.7,1.9
1618518644,1.0,2.7
1618518944,0.8,0.8
1618519243,1.0,2.4
1618519544,1.0,2.2
1618519844,1.7,2.0
1618520143,0.8,1.0
1618520444,0.8,1.4
1618520744,0.7,0.9
1618521044,0.7,0.7
1618521344,0.9,2.6
1618521644,0.8,1.1
1618521944,1.3,3.0
1618522244,0.7,2.5
1618522543,0.7,4.1
1618522844,0.9,1.0
1618523144,0.8,2.3
1618523443,0.7,0.8
1618523744,1.2,5.2
1618524044,1.4,5.2
1618524344,0.6,1.3
1618524644,1.8,4.1
1618524944,1.9,4.1
1618525244,2.1,3.7
1618525544,1.6,2.9
1618525843,1.8,3.3
1618526144,1.4,2.4
1618526444,2.2,4.8
1618526743,1.0,2.1
1618527042,1.4,3.1
1618527344,0.7,1.1
1618527644,1.4,5.2
1618527944,1.6,2.9
1618528244,1.3,2.5
1618528544,2.0,4.2
1618528844,1.9,6.6
1618529143,0.8,0.9
1618529444,0.7,0.7
1618529744,1.0,1.0
1618530044,1.5,1.6
1618530344,0.9,3.4
1618530644,1.2,6.2
1618530944,0.9,1.7
1618531244,0.9,1.2
1618531544,0.8,3.3
1618531844,0.8,2.4
1618532144,0.8,4.3
1618532443,0.8,1.0
1618532744,1.3,1.5
1618533044,0.7,0.8
1618533343,1.2,1.7
1618533644,1.3,2.3
1618533944,0.7,3.0
1618534244,0.7,1.3
1618534544,1.4,6.3
1618534844,0.8,2.1
1618535144,0.8,4.0
1618535444,0.7,1.1
1618535743,1.1,4.2
1618536044,0.7,1.0
1618536344,0.8,4.1
1618536644,1.3,4.0
1618536944,0.9,3.8
1618537244,1.6,2.2
1618537544,1.3,3.5
1618537844,0.8,1.9
1618538144,1.3,20.1
1618538444,1.0,3.3
1618538744,0.5,0.8
1618539043,0.7,0.7
1618539344,1.1,1.5
1618539644,0.7,2.0
1618539944,1.2,3.7
1618540244,0.8,2.7
1618540544,0.9,1.1
1618540844,0.7,1.3
1618541144,0.9,2.3
1618541444,0.8,0.8
1618541744,0.6,1.5
1618542044,1.3,2.9
1618542343,0.8,1.6
1618542644,0.7,1.5
1618542944,0.9,2.8
1618543244,0.8,1.7
1618543544,1.0,5.4
1618543844,1.1,1.7
1618544144,1.9,2.1
1618544444,0.6,2.1
1618544743,0.6,1.6
1618545044,0.9,4.3
1618545344,0.8,3.3
1618545643,1.6,3.5
1618545944,1.2,5.2
1618546244,1.0,1.8
1618546543,0.6,3.2
1618546844,1.0,3.7
1618547144,1.0,4.2
1618547444,0.6,1.7
1618547744,1.0,1.9
1618548043,0.5,0.8
1618548344,0.5,0.5
1618548644,1.3,7.8
1618548943,0.7,1.2
1618549244,0.4,1.2
1618549544,1.0,4.4
1618549843,0.6,2.9
1618550144,0.7,1.7
1618550444,0.7,2.2
1618550744,1.0,2.6
1618551044,0.8,1.4
1618551343,0.9,2.1
1618551644,0.9,2.1
1618551944,1.0,3.0
1618552243,1.0,2.0
1618552544,1.1,3.7
1618552844,1.4,40.7
1618553144,1.0,3.3
1618553444,1.6,2.2
1618553744,1.1,2.3
1618554044,0.8,1.9
1618554344,1.2,8.8
1618554643,1.8,3.2
1618554944,1.0,1.5
1618555244,1.5,5.9
1618555543,0.8,1.5
1618555844,0.8,4.1
1618556144,1.2,3.6
1618556444,1.4,5.9
1618556744,1.2,3.5
1618557044,0.7,0.8
1618557344,1.2,2.6
1618557644,1.5,5.9
1618557943,1.1,3.7
1618558244,1.1,1.3
1618558544,1.2,3.7
1618558843,1.0,4.2
1618559144,1.4,2.5
1618559444,1.3,8.7
1618559744,0.8,1.4
1618560044,1.5,11.3
1618560344,1.4,5.1
1618560644,1.5,3.7
1618560944,0.8,5.4
1618561243,0.9,7.9
1618561544,1.2,2.8
1618561844,0.9,2.2
1618562143,0.7,2.7
1618562444,1.3,2.4
1618562744,1.0,1.6
1618563043,1.1,2.7
1618563344,1.3,3.2
1618563644,1.2,11.3
1618563944,1.3,3.6
1618564244,1.3,6.2
1618564544,0.9,6.7
1618564844,1.4,9.7
1618565144,1.0,3.2
1618565443,1.2,3.1
1618565744,0.8,1.4
1618566044,1.2,6.0
1618566344,1.4,4.8
1618566644,0.9,1.6
1618566944,1.0,2.9
1618567244,1.5,5.8
1618567544,1.5,3.1
1618567844,1.8,3.8
1618568144,1.0,2.9
1618568444,0.8,3.1
1618568743,1.0,8.5
1618569044,0.8,4.0
1618569344,1.3,4.3
1618569644,0.7,2.4
1618569944,2.1,4.9
1618570244,1.0,5.7
1618570544,1.2,1.9
1618570844,1.4,2.9
1618571144,0.9,1.0
1618571444,0.8,1.9
1618571744,1.0,2.0
1618572043,1.2,2.4
1618572344,1.1,3.6
1618572644,0.6,0.8
1618572944,0.9,2.7
1618573244,0.8,5.9
1618573544,0.7,3.8
1618573844,1.0,2.5
1618574144,0.7,1.2
1618574444,0.7,2.7
1618574744,0.8,2.5
1618575044,1.5,3.5
1618575343,1.3,8.6
1618575643,None,None
1618575944,0.8,2.4
1618576243,0.8,2.9
1618576544,1.1,6.0
1618576844,1.0,2.4
1618577143,0.9,1.7
1618577411,None,None
1618577744,0.8,7.9
1618578043,1.6,3.2
1618578344,1.1,2.6
1618578644,1.1,3.6
1618578943,0.9,2.1
1618579246,0.8,1.2
1618579544,1.1,3.1
1618579843,1.4,7.4
1618580144,1.4,5.9
1618580444,0.9,14.8
1618580744,1.2,7.2
1618581044,0.9,5.3
1618581344,1.2,4.4
1618581644,1.6,6.1
1618581944,1.0,2.7
1618582244,0.8,3.3
1618582544,1.1,6.2
1618582843,None,None
1618583144,0.9,5.4
1618583444,0.7,1.0
1618583744,1.1,8.0
1618584043,68.0,75.7
1618584344,38.6,42.5
1618584644,28.1,31.6
1618584943,19.1,24.8
1618585244,24.6,27.2
1618585544,21.8,23.9
1618585843,20.7,22.9
1618586144,18.8,22.1
1618586444,17.0,19.9
1618586744,15.0,16.8
1618587044,13.8,15.4
1618587343,12.3,16.9
1618587644,12.6,14.0
1618587944,11.0,13.6
1618588243,10.6,12.1
1618588544,9.2,10.2
1618588844,8.8,14.7
1618589144,4.3,5.2
1618589444,2.3,4.9
1618589744,1.8,2.7
1618590044,1.7,2.4
1618590344,5.1,15.9
1618590643,3.3,5.0
1618590944,2.2,5.7
1618591244,2.2,6.2
1618591543,1.7,6.3
1618591844,1.7,7.2
1618592144,1.9,4.4
1618592443,1.4,3.5
1618592744,3.8,20.4
1618593044,1.8,3.3
1618593344,1.4,3.3
1618593644,1.4,4.2
1618593944,1.3,2.5
1618594244,1.3,5.8
1618594544,1.4,2.3
1618594843,1.2,1.8
1618595144,1.8,3.6
1618595444,1.2,3.1
1618595743,1.2,2.3
1618596044,1.2,1.3
1618596344,1.4,4.8
1618596644,1.0,3.6
1618596944,1.4,5.9
1618597243,1.1,2.3
1618597544,1.1,3.4
1618597844,1.3,6.6
1618598143,1.8,2.6
1618598444,1.0,1.5
1618598744,1.4,4.5
1618599044,1.9,6.0
